idx,class,sex,age,sibs,par/ch,fare,deck,embarked,survived
190,1,0,32.0,0,0,13.0,0,2,1
191,1,1,19.0,0,0,13.0,0,2,0
192,2,0,19.0,1,0,7.8542,0,2,1
193,1,1,3.0,1,1,26.0,6,2,1
194,0,0,44.0,0,0,27.7208,2,0,1
195,0,0,58.0,0,0,146.5208,2,0,1
196,2,1,29.881137667304014,0,0,7.75,0,1,0
197,2,1,42.0,0,1,8.4042,0,2,0
198,2,0,29.881137667304014,0,0,7.75,0,1,1
199,1,0,24.0,0,0,13.0,0,2,0
200,2,1,28.0,0,0,9.5,0,2,0
201,2,1,29.881137667304014,8,2,69.55,0,2,0
202,2,1,34.0,0,0,6.4958,0,2,0
203,2,1,45.5,0,0,7.225,0,0,0
204,2,1,18.0,0,0,8.05,0,2,1
205,2,0,2.0,0,1,10.4625,7,2,0
206,2,1,32.0,1,0,15.85,0,2,0
207,2,1,26.0,0,0,18.7875,0,0,1
208,2,0,16.0,0,0,7.75,0,1,1
209,0,1,40.0,0,0,31.0,1,0,1
210,2,1,24.0,0,0,7.05,0,2,0
211,1,0,35.0,0,0,21.0,0,2,1
212,2,1,22.0,0,0,7.25,0,2,0
213,1,1,30.0,0,0,13.0,0,2,0
214,2,1,29.881137667304014,1,0,7.75,0,1,0
215,0,0,31.0,1,0,113.275,4,0,1
216,2,0,27.0,0,0,7.925,0,2,1
217,1,1,42.0,1,0,27.0,0,2,0
218,0,0,32.0,0,0,76.2917,4,0,1
219,1,1,30.0,0,0,10.5,0,2,0
220,2,1,16.0,0,0,8.05,0,2,1
221,1,1,27.0,0,0,13.0,0,2,0
222,2,1,51.0,0,0,8.05,0,2,0
223,2,1,29.881137667304014,0,0,7.8958,0,2,0
224,0,1,38.0,1,0,90.0,3,2,1
225,2,1,22.0,0,0,9.35,0,2,0
226,1,1,19.0,0,0,10.5,0,2,1
227,2,1,20.5,0,0,7.25,0,2,0
228,1,1,18.0,0,0,13.0,0,2,0
229,2,0,29.881137667304014,3,1,25.4667,0,2,0
230,0,0,35.0,1,0,83.475,3,2,1
231,2,1,29.0,0,0,7.775,0,2,0
232,1,1,59.0,0,0,13.5,0,2,0
233,2,0,5.0,4,2,31.3875,0,2,1
234,1,1,24.0,0,0,10.5,0,2,0
235,2,0,29.881137667304014,0,0,7.55,0,2,0
236,1,1,44.0,1,0,26.0,0,2,0
237,1,0,8.0,0,2,26.25,0,2,1
238,1,1,19.0,0,0,10.5,0,2,0
239,1,1,33.0,0,0,12.275,0,2,0
240,2,0,29.881137667304014,1,0,14.4542,0,0,0
241,2,0,29.881137667304014,1,0,15.5,0,1,1
242,1,1,29.0,0,0,10.5,0,2,0
243,2,1,22.0,0,0,7.125,0,2,0
244,2,1,30.0,0,0,7.225,0,0,0
245,0,1,44.0,2,0,90.0,3,1,0
246,2,0,25.0,0,0,7.775,0,2,0
247,1,0,24.0,0,2,14.5,0,2,1
248,0,1,37.0,1,1,52.5542,4,2,1
249,1,1,54.0,1,0,26.0,0,2,0
250,2,1,29.881137667304014,0,0,7.25,0,2,0
251,2,0,29.0,1,1,10.4625,7,2,0
252,0,1,62.0,0,0,26.55,3,2,0
253,2,1,30.0,1,0,16.1,0,2,0
254,2,0,41.0,0,2,20.2125,0,2,0
255,2,0,29.0,0,2,15.2458,0,0,1
256,0,0,29.881137667304014,0,0,79.2,0,0,1
257,0,0,30.0,0,0,86.5,2,2,1
258,0,0,35.0,0,0,512.3292,0,0,1
259,1,0,50.0,0,1,26.0,0,2,1
260,2,1,29.881137667304014,0,0,7.75,0,1,0
261,2,1,3.0,4,2,31.3875,0,2,1
262,0,1,52.0,1,1,79.65,5,2,0
263,0,1,40.0,0,0,0.0,2,2,0
264,2,0,29.881137667304014,0,0,7.75,0,1,0
265,1,1,36.0,0,0,10.5,0,2,0
266,2,1,16.0,4,1,39.6875,0,2,0
267,2,1,25.0,1,0,7.775,0,2,1
268,0,0,58.0,0,1,153.4625,3,2,1
269,0,0,35.0,0,0,135.6333,3,2,1
270,0,1,29.881137667304014,0,0,31.0,0,2,0
271,2,1,25.0,0,0,0.0,0,2,1
272,1,0,41.0,0,1,19.5,0,2,1
273,0,1,37.0,0,1,29.7,3,0,0
274,2,0,29.881137667304014,0,0,7.75,0,1,1
275,0,0,63.0,1,0,77.9583,4,2,1
276,2,0,45.0,0,0,7.75,0,2,0
277,1,1,29.881137667304014,0,0,0.0,0,2,0
278,2,1,7.0,4,1,29.125,0,1,0
279,2,0,35.0,1,1,20.25,0,2,1
280,2,1,65.0,0,0,7.75,0,1,0
281,2,1,28.0,0,0,7.8542,0,2,0
282,2,1,16.0,0,0,9.5,0,2,0
283,2,1,19.0,0,0,8.05,0,2,1
284,0,1,29.881137667304014,0,0,26.0,1,2,0
285,2,1,33.0,0,0,8.6625,0,0,0
286,2,1,30.0,0,0,9.5,0,2,1
287,2,1,22.0,0,0,7.8958,0,2,0
288,1,1,42.0,0,0,13.0,0,2,1
289,2,0,22.0,0,0,7.75,0,1,1
290,0,0,26.0,0,0,78.85,0,2,1
291,0,0,19.0,1,0,91.0792,2,0,1
292,1,1,36.0,0,0,12.875,0,0,0
293,2,0,24.0,0,0,8.85,0,2,0
294,2,1,24.0,0,0,7.8958,0,2,0
295,0,1,29.881137667304014,0,0,27.7208,0,0,0
296,2,1,23.5,0,0,7.2292,0,0,0
297,0,0,2.0,1,2,151.55,3,2,0
298,0,1,29.881137667304014,0,0,30.5,3,2,1
299,0,0,50.0,0,1,247.5208,2,0,1
300,2,0,29.881137667304014,0,0,7.75,0,1,1
301,2,1,29.881137667304014,2,0,23.25,0,1,1
302,2,1,19.0,0,0,0.0,0,2,0
303,1,0,29.881137667304014,0,0,12.35,5,1,1
304,2,1,29.881137667304014,0,0,8.05,0,2,0
305,0,1,0.92,1,2,151.55,3,2,1
306,0,0,29.881137667304014,0,0,110.8833,0,0,1
307,0,0,17.0,1,0,108.9,3,0,1
308,1,1,30.0,1,0,24.0,0,0,0
309,0,0,30.0,0,0,56.9292,5,0,1
310,0,0,24.0,0,0,83.1583,3,0,1
311,0,0,18.0,2,2,262.375,2,0,1
312,1,0,26.0,1,1,26.0,0,2,0
313,2,1,28.0,0,0,7.8958,0,2,0
314,1,1,43.0,1,1,26.25,0,2,0
315,2,0,26.0,0,0,7.8542,0,2,1
316,1,0,24.0,1,0,26.0,0,2,1
317,1,1,54.0,0,0,14.0,0,2,0
318,0,0,31.0,0,2,164.8667,3,2,1
319,0,0,40.0,1,1,134.5,5,0,1
320,2,1,22.0,0,0,7.25,0,2,0
321,2,1,27.0,0,0,7.8958,0,2,0
322,1,0,30.0,0,0,12.35,0,1,1
323,1,0,22.0,1,1,29.0,0,2,1
324,2,1,29.881137667304014,8,2,69.55,0,2,0
325,0,0,36.0,0,0,135.6333,3,0,1
326,2,1,61.0,0,0,6.2375,0,2,0
327,1,0,36.0,0,0,13.0,0,2,1
328,2,0,31.0,1,1,20.525,0,2,1
329,0,0,16.0,0,1,57.9792,2,0,1
330,2,0,29.881137667304014,2,0,23.25,0,1,1
331,0,1,45.5,0,0,28.5,3,2,0
332,0,1,38.0,0,1,153.4625,3,2,0
333,2,1,16.0,2,0,18.0,0,2,0
334,0,0,29.881137667304014,1,0,133.65,0,2,1
335,2,1,29.881137667304014,0,0,7.8958,0,2,0
336,0,1,29.0,1,0,66.6,3,2,0
337,0,0,41.0,0,0,134.5,5,0,1
338,2,1,45.0,0,0,8.05,0,2,1
339,0,1,45.0,0,0,35.5,0,2,0
340,1,1,2.0,1,1,26.0,6,2,1
341,0,0,24.0,3,2,263.0,3,2,1
342,1,1,28.0,0,0,13.0,0,2,0
343,1,1,25.0,0,0,13.0,0,2,0
344,1,1,36.0,0,0,13.0,0,2,0
345,1,0,24.0,0,0,13.0,6,2,1
346,1,0,40.0,0,0,13.0,0,2,1
347,2,0,29.881137667304014,1,0,16.1,0,2,1
348,2,1,3.0,1,1,15.9,0,2,1
349,2,1,42.0,0,0,8.6625,0,2,0
350,2,1,23.0,0,0,9.225,0,2,0
351,0,1,29.881137667304014,0,0,35.0,3,2,0
352,2,1,15.0,1,1,7.2292,0,0,0
353,2,1,25.0,1,0,17.8,0,2,0
354,2,1,29.881137667304014,0,0,7.225,0,0,0
355,2,1,28.0,0,0,9.5,0,2,0
356,0,0,22.0,0,1,55.0,5,2,1
357,1,0,38.0,0,0,13.0,0,2,0
358,2,0,29.881137667304014,0,0,7.8792,0,1,1
359,2,0,29.881137667304014,0,0,7.8792,0,1,1
360,2,1,40.0,1,4,27.9,0,2,0
361,1,1,29.0,1,0,27.7208,0,0,0
362,2,0,45.0,0,1,14.4542,0,0,0
363,2,1,35.0,0,0,7.05,0,2,0
364,2,1,29.881137667304014,1,0,15.5,0,1,0
365,2,1,30.0,0,0,7.25,0,2,0
366,0,0,60.0,1,0,75.25,4,0,1
367,2,0,29.881137667304014,0,0,7.2292,0,0,1
368,2,0,29.881137667304014,0,0,7.75,0,1,1
369,0,0,24.0,0,0,69.3,2,0,1
370,0,1,25.0,1,0,55.4417,5,0,1
371,2,1,18.0,1,0,6.4958,0,2,0
372,2,1,19.0,0,0,8.05,0,2,0
373,0,1,22.0,0,0,135.6333,0,0,0
374,2,0,3.0,3,1,21.075,0,2,0
375,0,0,29.881137667304014,1,0,82.1708,0,0,1
376,2,0,22.0,0,0,7.25,0,2,1
377,0,1,27.0,0,2,211.5,3,0,0
378,2,1,20.0,0,0,4.0125,0,0,0
379,2,1,19.0,0,0,7.775,0,2,0
380,0,0,42.0,0,0,227.525,0,0,1
381,2,0,1.0,0,2,15.7417,0,0,1
382,2,1,32.0,0,0,7.925,0,2,0
383,0,0,35.0,1,0,52.0,0,2,1
384,2,1,29.881137667304014,0,0,7.8958,0,2,0
385,1,1,18.0,0,0,73.5,0,2,0
386,2,1,1.0,5,2,46.9,0,2,0
387,1,0,36.0,0,0,13.0,0,2,1
388,2,1,29.881137667304014,0,0,7.7292,0,1,0
389,1,0,17.0,0,0,12.0,0,0,1
390,0,1,36.0,1,2,120.0,2,2,1
391,2,1,21.0,0,0,7.7958,0,2,1
392,2,1,28.0,2,0,7.925,0,2,0
393,0,0,23.0,1,0,113.275,4,0,1
394,2,0,24.0,0,2,16.7,7,2,1
395,2,1,22.0,0,0,7.7958,0,2,0
396,2,0,31.0,0,0,7.8542,0,2,0
397,1,1,46.0,0,0,26.0,0,2,0
398,1,1,23.0,0,0,10.5,0,2,0
399,1,0,28.0,0,0,12.65,0,2,1
400,2,1,39.0,0,0,7.925,0,2,1
401,2,1,26.0,0,0,8.05,0,2,0
402,2,0,21.0,1,0,9.825,0,2,0
403,2,1,28.0,1,0,15.85,0,2,0
404,2,0,20.0,0,0,8.6625,0,2,0
405,1,1,34.0,1,0,21.0,0,2,0
406,2,1,51.0,0,0,7.75,0,2,0
407,1,1,3.0,1,1,18.75,0,2,1
408,2,1,21.0,0,0,7.775,0,2,0
409,2,0,29.881137667304014,3,1,25.4667,0,2,0
410,2,1,29.881137667304014,0,0,7.8958,0,2,0
411,2,1,29.881137667304014,0,0,6.8583,0,1,0
412,0,0,33.0,1,0,90.0,3,1,1
413,1,1,29.881137667304014,0,0,0.0,0,2,0
414,2,1,44.0,0,0,7.925,0,2,1
415,2,0,29.881137667304014,0,0,8.05,0,2,0
416,1,0,34.0,1,1,32.5,0,2,1
417,1,0,18.0,0,2,13.0,0,2,1
418,1,1,30.0,0,0,13.0,0,2,0
419,2,0,10.0,0,2,24.15,0,2,0
420,2,1,29.881137667304014,0,0,7.8958,0,0,0
421,2,1,21.0,0,0,7.7333,0,1,0
422,2,1,29.0,0,0,7.875,0,2,0
423,2,0,28.0,1,1,14.4,0,2,0
424,2,1,18.0,1,1,20.2125,0,2,0
425,2,1,29.881137667304014,0,0,7.25,0,2,0
426,1,0,28.0,1,0,26.0,0,2,1
427,1,0,19.0,0,0,26.0,0,2,1
428,2,1,29.881137667304014,0,0,7.75,0,1,0
429,2,1,32.0,0,0,8.05,5,2,1
430,0,1,28.0,0,0,26.55,3,2,1
431,2,0,29.881137667304014,1,0,16.1,0,2,1
432,1,0,42.0,1,0,26.0,0,2,1
433,2,1,17.0,0,0,7.125,0,2,0
434,0,1,50.0,1,0,55.9,5,2,0
435,0,0,14.0,1,2,120.0,2,2,1
436,2,0,21.0,2,2,34.375,0,2,0
437,1,0,24.0,2,3,18.75,0,2,1
438,0,1,64.0,1,4,263.0,3,2,0
439,1,1,31.0,0,0,10.5,0,2,0
440,1,0,45.0,1,1,26.25,0,2,1
441,2,1,20.0,0,0,9.5,0,2,0
442,2,1,25.0,1,0,7.775,0,2,0
443,1,0,28.0,0,0,13.0,0,2,1
444,2,1,29.881137667304014,0,0,8.1125,0,2,1
445,0,1,4.0,0,2,81.8583,1,2,1
446,1,0,13.0,0,1,19.5,0,2,1
447,0,1,34.0,0,0,26.55,0,2,1
448,2,0,5.0,2,1,19.2583,0,0,1
449,0,1,52.0,0,0,30.5,3,2,1
450,1,1,36.0,1,2,27.75,0,2,0
451,2,1,29.881137667304014,1,0,19.9667,0,2,0
452,0,1,30.0,0,0,27.75,3,0,0
453,0,1,49.0,1,0,89.1042,3,0,1
454,2,1,29.881137667304014,0,0,8.05,0,2,0
455,2,1,29.0,0,0,7.8958,0,0,1
456,0,1,65.0,0,0,26.55,5,2,0
457,0,0,29.881137667304014,1,0,51.8625,4,2,1
458,1,0,50.0,0,0,10.5,0,2,1
459,2,1,29.881137667304014,0,0,7.75,0,1,0
460,0,1,48.0,0,0,26.55,5,2,1
461,2,1,34.0,0,0,8.05,0,2,0
462,0,1,47.0,0,0,38.5,5,2,0
463,1,1,48.0,0,0,13.0,0,2,0
464,2,1,29.881137667304014,0,0,8.05,0,2,0
465,2,1,38.0,0,0,7.05,0,2,0
466,1,1,29.881137667304014,0,0,0.0,0,2,0
467,0,1,56.0,0,0,26.55,0,2,0
468,2,1,29.881137667304014,0,0,7.725,0,1,0
469,2,0,0.75,2,1,19.2583,0,0,1
470,2,1,29.881137667304014,0,0,7.25,0,2,0
471,2,1,38.0,0,0,8.6625,0,2,0
472,1,0,33.0,1,2,27.75,0,2,1
473,1,0,23.0,0,0,13.7917,0,0,1
474,2,0,22.0,0,0,9.8375,0,2,0
475,0,1,29.881137667304014,0,0,52.0,1,2,0
476,1,1,34.0,1,0,21.0,0,2,0
477,2,1,29.0,1,0,7.0458,0,2,0
478,2,1,22.0,0,0,7.5208,0,2,0
479,2,0,2.0,0,1,12.2875,0,2,1
480,2,1,9.0,5,2,46.9,0,2,0
481,1,1,29.881137667304014,0,0,0.0,0,2,0
482,2,1,50.0,0,0,8.05,0,2,0
483,2,0,63.0,0,0,9.5875,0,2,1
484,0,1,25.0,1,0,91.0792,2,0,1
485,2,0,29.881137667304014,3,1,25.4667,0,2,0
486,0,0,35.0,1,0,90.0,3,2,1
487,0,1,58.0,0,0,29.7,2,0,0
488,2,1,30.0,0,0,8.05,0,2,0
489,2,1,9.0,1,1,15.9,0,2,1
490,2,1,29.881137667304014,1,0,19.9667,0,2,0
491,2,1,21.0,0,0,7.25,0,2,0
492,0,1,55.0,0,0,30.5,3,2,0
493,0,1,71.0,0,0,49.5042,0,0,0
494,2,1,21.0,0,0,8.05,0,2,0
495,2,1,29.881137667304014,0,0,14.4583,0,0,0
496,0,0,54.0,1,0,78.2667,4,0,1
497,2,1,29.881137667304014,0,0,15.1,0,2,0
498,0,0,25.0,1,2,151.55,3,2,0
499,2,1,24.0,0,0,7.7958,0,2,0
500,2,1,17.0,0,0,8.6625,0,2,0
501,2,0,21.0,0,0,7.75,0,1,0
502,2,0,29.881137667304014,0,0,7.6292,0,1,0
503,2,0,37.0,0,0,9.5875,0,2,0
504,0,0,16.0,0,0,86.5,2,2,1
505,0,1,18.0,1,0,108.9,3,0,0
506,1,0,33.0,0,2,26.0,0,2,1
507,0,1,29.881137667304014,0,0,26.55,0,2,1
508,2,1,28.0,0,0,22.525,0,2,0
509,2,1,26.0,0,0,56.4958,0,2,1
510,2,1,29.0,0,0,7.75,0,1,1
511,2,1,29.881137667304014,0,0,8.05,0,2,0
512,0,1,36.0,0,0,26.2875,5,2,1
513,0,0,54.0,1,0,59.4,0,0,1
514,2,1,24.0,0,0,7.4958,0,2,0
515,0,1,47.0,0,0,34.0208,4,2,0
516,1,0,34.0,0,0,10.5,6,2,1
517,2,1,29.881137667304014,0,0,24.15,0,1,0
518,1,0,36.0,1,0,26.0,0,2,1
519,2,1,32.0,0,0,7.8958,0,2,0
520,0,0,30.0,0,0,93.5,2,2,1
521,2,1,22.0,0,0,7.8958,0,2,0
522,2,1,29.881137667304014,0,0,7.225,0,0,0
523,0,0,44.0,0,1,57.9792,2,0,1
524,2,1,29.881137667304014,0,0,7.2292,0,0,0
525,2,1,40.5,0,0,7.75,0,1,0
526,1,0,50.0,0,0,10.5,0,2,1
527,0,1,29.881137667304014,0,0,221.7792,3,2,0
528,2,1,39.0,0,0,7.925,0,2,0
529,1,1,23.0,2,1,11.5,0,2,0
530,1,0,2.0,1,1,26.0,0,2,1
531,2,1,29.881137667304014,0,0,7.2292,0,0,0
532,2,1,17.0,1,1,7.2292,0,0,0
533,2,0,29.881137667304014,0,2,22.3583,0,0,1
534,2,0,30.0,0,0,8.6625,0,2,0
535,1,0,7.0,0,2,26.25,0,2,1
536,0,1,45.0,0,0,26.55,2,2,0
537,0,0,30.0,0,0,106.425,0,0,1
538,2,1,29.881137667304014,0,0,14.5,0,2,0
539,0,0,22.0,0,2,49.5,2,0,1
540,0,0,36.0,0,2,71.0,2,2,1
541,2,0,9.0,4,2,31.275,0,2,0
542,2,0,11.0,4,2,31.275,0,2,0
543,1,1,32.0,1,0,26.0,0,2,1
544,0,1,50.0,1,0,106.425,3,0,0
545,0,1,64.0,0,0,26.0,0,2,0
546,1,0,19.0,1,0,26.0,0,2,1
547,1,1,29.881137667304014,0,0,13.8625,0,0,1
548,2,1,33.0,1,1,20.525,0,2,0
549,1,1,8.0,1,1,36.75,0,2,1
550,0,1,17.0,0,2,110.8833,3,0,1
551,1,1,27.0,0,0,26.0,0,2,0
552,2,1,29.881137667304014,0,0,7.8292,0,1,0
553,2,1,22.0,0,0,7.225,0,0,1
